DTP  CI  9.5700 P 0.22 D  I  58.00
DTP  CI 16.6300 S 0.00    E  58.00
WBS  CI 10.1800 P 0.07 D  I  60.80
WBS  CI 17.6800 S 0.24    E  60.80
DAW  CI 10.4700 P 0.22    E  63.20
DAW  CI 18.2100 S 0.11    E  63.20
QSM  NN 10.7900 P 0.00 U  I  63.70
QSM  NN 18.5600 S 0.23    E  63.70
WOR  CI 11.1100 P 0.08 U  I  66.90
WOR  CI 19.1900 S 0.18    E  66.90
WHF  CI 12.7200 P 0.05 U  I  76.80
WHF  CI 22.1800 S 0.50    E  76.80
CCA  CI 12.9500 P 0.05 D  I  77.30
CCA  CI 22.6500 S 0.76    E  77.30
GSC  CI 12.9300 P 0.01    E  77.40
GSC  CI 22.5300 S 0.50    E  77.40
HAR  CI 13.1800 P 0.00    E  79.50
HAR  CI 23.1800 S 0.67    E  79.50
LMR2 CI 14.4000 P 0.01    E  87.70
LMR2 CI 25.8700 S 1.35    E  87.70
ISA  CI 14.5400 P 0.02 U  I  87.90
ISA  CI 24.9000 S 0.23    E  87.90
GWY  NN 15.3200 P 0.20    E  91.80
GWY  NN 26.7200 S 0.98    E  91.80
HYS  CI 15.3900 P 0.03    E  93.80
HYS  CI 26.7600 S 0.60    E  93.80
TEH  CI 15.3900 P 0.19 U  I  95.20
TEH  CI 26.5500 S 0.00    E  95.20
CGO  CI 16.1300 P 0.23    E  97.50
EDW2 CI 16.6300 P 0.01    E  102.20
EDW2 CI 28.8300 S 0.40    E  102.20
AVM  CI 17.6900 P 0.10    E  107.40
AVM  CI 30.4900 S 0.30    E  107.40
LDR  CI 31.4300 S 0.69    E  110.20
SHO  CI 18.5800 P 0.13    E  112.60
SHO  CI 32.8100 S 1.32    E  112.60
TPO  CI 18.8500 P 0.41    E  113.30
TPO  CI 32.7600 S 1.12    E  113.30
SBB2 CI 19.0500 P 0.20    E  117.00
SBB2 CI 33.7000 S 1.42    E  117.00
LEC  SN 19.5800 P 0.23    E  119.70
LEC  SN 33.6400 S 0.30    E  119.70
TEJ  CI 19.3500 P 0.04    E  119.80
HEL  SN 19.8500 P 0.00    E  122.50
HEL  SN 34.8000 S 0.66    E  122.50
SPG2 CI 20.6100 P 0.31    E  126.30
SPG2 CI 34.8500 S 0.10    E  126.30
FOX2 CI 20.8300 P 0.25    E  127.40
FOX2 CI 36.9600 S 1.59    E  127.40
FDR  CI 21.0600 P 0.06    E  129.60
FDR  CI 36.0700 S 0.00    E  129.60
NBS  CI 22.3500 P 0.69    E  134.00
NBS  CI 37.5200 S 0.48    E  134.00
AMD  SN 21.6300 P 0.46    E  137.30
AMD  SN 38.0000 S 0.17    E  137.30
LRR2 CI 22.4800 P 0.18    E  139.80
LRR2 CI 40.7000 S 2.33    E  139.80
LEO  CI 23.4600 P 1.09    E  140.20
DSC  CI 22.9600 P 0.31    E  141.30
DSC  CI 40.2200 S 1.35    E  141.30
